System_Affiliation,Facility_Name,Current Year Market Share,Current Year Commercial Market Share,Hosp Lat,Hosp Long,Quality-Complications_Deaths,Likelihood to Recommend,Overall Hospital Linear Mean Score,Quality-Hosp Acq Infections,Quality-Readmissions,Total 2017-22 Pop Growth,2017 Household Income,CY Discharges,Estimated NR,Estimated CM,Estimated EBITDA,Current Liabilities,Current Assets,Total Liabilities,Fund Balance,EBITDAR
No Known Affiliation,Tahlequah City Hospital-Oklahoma,0.2172543597,0.1580299786,35.964676,-94.95676,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,2.12E-02,52708.51592,3822,38149963,21111368,4614829,-,-,-,-,-91890724
Tahoe Forest Health System,Tahoe Forest Hospital-California,0.5726017171,0.6737430168,39.331232,-120.194122,No Different than the National Rate,89,94,Not Available,No Different than the National Rate,3.31E-02,94312.3416,2090,21787655,13516302,6203422,20761534,94218219,152704920,90081207,9724532
Adventist Health System,Takoma Regional Hospital-Tennessee,0.2320435589,0.1730680241,36.067997,-82.85636,No Different than the National Rate,78,90,No Different than National Benchmark,No Different than the National Rate,3.48E-02,52177.42453,2791,24958283,14383139,3050974,8275102,12214752,10515998,16390982,2585416
Tallahassee Memorial,Tallahassee Memorial Hospital-Florida,0.5802247191,0.6618015373,30.477204,-84.225146,No Different than the National Rate,77,90,No Different than National Benchmark,No Different than the National Rate,6.15E-02,64738.79479,31559,397088263,236055591,96821347,91627333,330429895,336270695,274499526,69764873
HCA,Tampa Community Hospital-Florida,2.83E-02,2.64E-02,28.004444,-82.583976,No Different than the National Rate,64,85,Not Available,No Different than the National Rate,3.97E-02,66552.69935,4645,38418156,22763311,4850127,4638767,10551286,20103335,-9589636,1781136
Tampa General,Tampa General Hospital-Florida,0.1454802598,0.1356756757,27.933931,-82.467313,No Different than the National Rate,77,89,No Different than National Benchmark,No Different than the National Rate,8.67E-02,71844.85354,49463,706501496,395509260,147115612,313626393,352250256,810329011,739606060,116590183
Tanner Health System,Tanner Medical Center/Carrollton-Georgia,0.4290849467,0.3297340005,33.583264,-85.131317,No Different than the National Rate,76,91,No Different than National Benchmark,No Different than the National Rate,0.1014379361,59670.24176,9445,96580660,52971586,13966033,45800353,98787343,140224921,341157280,71323481
Tanner Health System,Tanner Medical Center/Villa Rica-Georgia,5.15E-02,3.27E-02,33.721237,-84.919844,No Different than the National Rate,77,92,Not Available,No Different than the National Rate,9.65E-02,67685.00891,6732,35215914,19419043,-2931216,3221060,112825921,3221060,157607210,17790623
No Known Affiliation,Tarzana Treatment Center-California,3.92E-03,3.83E-03,34.153883,-118.546779,,,,,,2.49E-02,94831.0876,2138,5366316,2500557,-2100107,,,,,
No Known Affiliation,Taylor Regional Hospital-Georgia,0.1640565317,0.1465766635,32.2649,-83.499111,No Different than the National Rate,67,90,Not Available,No Different than the National Rate,4.59E-02,48301.32985,1211,10257868,5756390,1147432,7536692,5142817,17940227,2440499,-725725
Catholic Health Initiatives,Taylor Regional Hospital-Kentucky,0.3616087751,0.2876595745,37.395584,-85.381294,No Different than the National Rate,70,87,Not Available,No Different than the National Rate,2.02E-02,47243.55024,2844,23379778,13047891,2375550,9924895,52149001,34318821,56072964,10202057
LifePoint,Teche Regional Medical Center-Louisiana,0.522260669,0.3325688073,29.807884,-91.221211,No Different than the National Rate,64,88,Not Available,No Different than the National Rate,1.95E-02,58589.17753,3275,22996017,12850683,1093281,2706535,9860083,21899675,18898888,1751366
No Known Affiliation,Tehachapi Hospital-California,3.07E-02,7.62E-03,35.153212,-118.502516,No Different than the National Rate,Not Available,Not Available,No Different than National Benchmark,No Different than the National Rate,8.74E-02,80430.01692,109,552446,329801,49703,6153881,19060997,71724502,26509019,11483857
No Known Affiliation,Telecare El Dorado County Phf-California,4.83E-03,2.30E-04,38.733228,-120.788031,,,,,,0.1108072354,99635.66298,346,1246018,664472,-414541,,,,,
No Known Affiliation,Telecare Heritage Psychiatric Health Facility-California,3.66E-03,7.53E-03,37.776929,-122.217989,,,,,,2.38E-02,104699.3651,1259,7927177,5768425,1703542,,,,,
No Known Affiliation,Telecare Placer County Phf-California,7.67E-03,0,38.765183,-121.288452,,,,,,0.1438795932,102290.5441,518,1661998,827133,-742985,,,,,
No Known Affiliation,Telecare Riverside County Psychiatric Health Facility-California,1.66E-02,9.41E-03,33.706317,-116.234491,,,,,,7.55E-02,64031.61721,790,2801018,1536149,-868622,,,,,
No Known Affiliation,Telecare Santa Cruz Phf-California,2.31E-02,4.11E-03,36.973015,-121.989619,,,,,,1.37E-02,91035.87163,497,2239155,1305595,-384004,,,,,
No Known Affiliation,Telecare Stanislaus County Phf-California,1.59E-02,5.46E-04,37.553753,-120.954239,,,,,,1.48E-02,66536.83795,1222,4113932,2125146,-1534126,,,,,
No Known Affiliation,Telecare Willow Rock Center-California,3.74E-03,2.11E-03,37.706434,-122.125278,,,,,,6.55E-03,103981.8211,582,2320928,1467274,-121276,,,,,
Universal Health Services Inc.,Temecula Valley Hospital-California,0.1750696064,9.66E-02,33.506432,-117.013613,No Different than the National Rate,79,91,No Different than National Benchmark,No Different than the National Rate,0.1604483939,103226.7598,6397,72559529,42643578,14797015,7104943,19914779,208865819,-29080340,26757353
Tenet,Tenet Sunnyvale Mc-Texas,3.58E-02,3.92E-02,32.801227,-96.554237,No Different than the National Rate,70,87,Not Available,No Different than the National Rate,5.70E-02,63949.81759,4909,55092875,34088368,14048460,7541529,21772228,7537529,53507830,13933120
Community Health Systems,Tennova Healthcare - Clarksville-Tennessee,0.5282178642,0.5061324612,36.521607,-87.33614,No Different than the National Rate,56,85,No Different than National Benchmark,No Different than the National Rate,0.08975412038,58184.86027,11106,97511171,54637815,13518138,78722412,27530058,124619522,68033922,13141888
Community Health Systems,Tennova Healthcare-Cleveland Westside-Tennessee,2.40E-02,2.66E-02,35.227797,-84.874885,No Different than the National Rate,57,86,No Different than National Benchmark,No Different than the National Rate,0.04810443491,64573.43894,809,3892325,2444952,-125215,113769061,23527050,113869080,-3255376,6667136
Community Health Systems,Tennova Healthcare-Cleveland-Tennessee,0.5059012445,0.3443348078,35.103362,-84.92139,No Different than the National Rate,57,86,No Different than National Benchmark,No Different than the National Rate,4.09E-02,61025.75864,8510,82610368,46824544,11898261,113769061,23527050,113869080,-3255376,6667136
Community Health Systems,Tennova Healthcare-Dyersburg Regional Medical Cent-Tennessee,0.4010269576,0.2488231338,36.051963,-89.408342,No Different than the National Rate,56,85,Not Available,No Different than the National Rate,1.44E-02,53649.11079,4424,32034614,17767543,2321109,-7780725,13445236,-7780725,48273808,8336462
Community Health Systems,Tennova Healthcare-Harton-Tennessee,0.2768894782,0.2548452415,35.348107,-86.20446,No Different than the National Rate,67,87,Not Available,No Different than the National Rate,3.88E-02,59053.54203,4986,47319609,29207781,11398405,42625141,12398443,41987480,13442796,16628624
Community Health Systems,Tennova Healthcare-Jamestown-Tennessee,0.3447743926,0.2532637076,36.409437,-84.925034,No Different than the National Rate,53,86,Not Available,No Different than the National Rate,4.10E-02,42037.98742,1247,9153613,5436889,840677,14107394,3333101,14099531,-2343710,1225305
Community Health Systems,Tennova Healthcare-Jefferson Memorial Hospital-Tennessee,0.1822974916,0.1293800539,36.109575,-83.46492,No Different than the National Rate,78,91,Not Available,No Different than the National Rate,5.63E-02,57434.4539,1595,15287157,9140033,2593771,29099175,5615334,34881976,6641130,6613431
Community Health Systems,Tennova Healthcare-Lafollette Medical Center-Tennessee,0.328358209,0.2637571157,36.400926,-84.082347,No Different than the National Rate,56,83,Better than the National Benchmark,No Different than the National Rate,1.72E-02,48229.9152,2227,18758454,11200928,2639296,14318293,7914222,14341674,13365768,11034266
Community Health Systems,Tennova Healthcare-Lakeway Regional Hospital-Tennessee,8.26E-02,5.60E-02,36.236158,-83.331762,No Different than the National Rate,64,86,Not Available,No Different than the National Rate,2.56E-02,50003.28955,1546,17405345,9583544,2520943,50538177,8047681,50638177,-17242532,-1800902
Community Health Systems,Tennova Healthcare-Lebanon Mcfarland Campus-Tennessee,3.59E-03,1.96E-03,36.273922,-86.271096,No Different than the National Rate,59,84,Not Available,No Different than the National Rate,6.78E-02,66661.96922,681,3681610,2192073,-296331,68919241,15567837,69283724,10391824,9655018
Community Health Systems,Tennova Healthcare-Lebanon-Tennessee,0.2825266337,0.2235044033,36.273922,-86.271096,No Different than the National Rate,59,84,Not Available,No Different than the National Rate,6.03E-02,67347.69443,4735,45804052,26958680,9029457,68919241,15567837,69283724,10391824,9655018
Community Health Systems,Tennova Healthcare-Newport Medical Center-Tennessee,0.332876086,0.25,35.976496,-83.196316,No Different than the National Rate,65,89,No Different than National Benchmark,No Different than the National Rate,3.38E-02,43736.61743,2071,14013648,7968317,1005691,15288289,6273391,15339050,2662195,1427951
Community Health Systems,Tennova Healthcare-North Knoxville Medical Center-Tennessee,7.78E-02,6.71E-02,36.001093,-83.913803,No Different than the National Rate,71,88,No Different than National Benchmark,No Different than the National Rate,4.00E-02,57944.33889,4272,45958423,28002837,9262568,281338751,62209005,290338651,44123001,46149857
Community Health Systems,Tennova Healthcare-Physicians Regional Medical Cen-Tennessee,0.1434732605,0.155060241,36.001093,-83.913803,No Different than the National Rate,71,88,No Different than National Benchmark,No Different than the National Rate,3.99E-02,59858.79485,13750,186239793,106404105,42574548,281338751,62209005,290338651,44123001,46149857
Community Health Systems,Tennova Healthcare-Regional Hospital Of Jackson-Tennessee,7.74E-02,6.59E-02,35.703281,-88.774292,No Different than the National Rate,73,89,No Different than National Benchmark,No Different than the National Rate,1.75E-02,55871.84011,4723,51761783,28549799,7846355,-5700380,14055458,-3786368,61840613,13494644
Community Health Systems,Tennova Healthcare-Shelbyville-Tennessee,0.1916461916,0.1120556414,35.466982,-86.481738,No Different than the National Rate,52,83,Not Available,No Different than the National Rate,5.63E-02,56559.36522,1369,13278411,7424345,1770574,75549053,7457131,75549053,-37460155,-3328302
Community Health Systems,Tennova Healthcare-Turkey Creek Medical Center-Tennessee,3.53E-02,4.93E-02,35.872872,-84.179159,No Different than the National Rate,71,88,No Different than National Benchmark,No Different than the National Rate,5.20E-02,68008.95255,4988,69697567,42852886,21340368,281338751,62209005,290338651,44123001,46149857
Community Health Systems,Tennova Healthcare-Volunteer Martin-Tennessee,0.1895929933,0.178600823,36.359733,-88.836272,No Different than the National Rate,68,90,Not Available,No Different than the National Rate,2.22E-03,54057.97207,1599,10377206,5868700,819934,2344331,7109652,2333911,21458230,2695947
No Known Affiliation,Terrebonne General Medical Center-Louisiana,0.4299704468,0.466395112,29.586501,-90.820843,No Different than the National Rate,74,90,No Different than National Benchmark,No Different than the National Rate,6.44E-03,63574.34466,10199,118205178,70564711,29986786,21450405,44005970,69172454,280346237,20099235
No Known Affiliation,Terrell State Hospital-Texas,3.59E-03,0,32.764525,-96.296667,,,,,,3.80E-02,76617.99851,1581,3544806,1056633,-3817579,22004879,-238747702,22004879,-261265605,-38976875
Texas Children's,Texas Children'S Hospital - Pavilion For Woman-Texas,2.43E-02,5.25E-02,29.706824,-95.400691,Not Available,Not Available,Not Available,Not Available,Not Available,7.67E-02,94724.2344,11610,82130097,57066033,27325644,402461575,461732033,1348714799,3202173205,200570377
Texas Children's,Texas Children'S Hospital-Texas,2.27E-02,2.46E-02,29.706824,-95.400691,Not Available,Not Available,Not Available,Not Available,Not Available,7.48E-02,88203.74789,18708,379865101,228673463,114860378,402461575,461732033,1348714799,3202173205,200570377
Texas Children's,Texas Childrens Hospital West Campus-Texas,1.14E-02,1.44E-02,29.756216,-95.683823,,,,,,0.1054335579,97176.26056,4096,42242823,26995447,11748348,,,,,
No Known Affiliation,Texas County Memorial Hospital - Houston Mo-Missouri,0.2930565851,0.2081447964,37.307524,-91.949306,No Different than the National Rate,61,88,Not Available,No Different than the National Rate,1.14E-02,47461.52794,1677,9488546,5279762,245878,3093845,8415375,20715955,18783442,62346
No Known Affiliation,Texas General Hospital-Texas,1.85E-03,2.15E-03,32.727345,-96.991607,No Different than the National Rate,70,88,Not Available,No Different than the National Rate,7.57E-02,79764.43461,479,6550558,4071413,2118378,4729062,32675820,10167360,26777242,12956661
Texas Health Resources,Texas Health Arlington Memorial Hospital-Texas,9.93E-02,8.71E-02,32.759905,-97.137815,No Different than the National Rate,74,90,No Different than National Benchmark,No Different than the National Rate,3.18E-02,70836.14943,14950,142966835,85192684,27849040,19885294,35061644,-134632006,286585939,29377953
Texas Health Resources,Texas Health Center-Diagnostics & Surgery Plano-Texas,1.88E-03,3.34E-03,33.034913,-96.807924,No Different than the National Rate,90,95,No Different than National Benchmark,No Different than the National Rate,0.1209711176,111198.1979,638,26035251,17420583,13688195,7669951,24576276,9469464,23730479,30037070
Texas Health Resources,Texas Health Harris Methodist Heb-Texas,0.1062829389,0.1130531227,32.830463,-97.145064,No Different than the National Rate,76,90,No Different than National Benchmark,No Different than the National Rate,3.95E-02,90652.63819,14072,145395816,90111228,35427975,-198407607,33855393,-198135494,314571593,30861563
Texas Health Resources,Texas Health Harris Methodist Hospital Alliance-Texas,6.14E-02,0.1076711386,32.930474,-97.282047,No Different than the National Rate,83,90,No Different than National Benchmark,No Different than the National Rate,0.2080842115,109802.8178,7373,65170678,43111328,19882352,97128276,10697956,97128276,-8510144,18717337
Texas Health Resources,Texas Health Harris Methodist Hospital Azle-Texas,0.1335825969,5.58E-02,32.903914,-97.56124,No Different than the National Rate,79,91,No Different than National Benchmark,No Different than the National Rate,8.67E-02,80018.95814,1645,12812819,7357773,1387579,15944105,4677110,16218115,-3554414,2940743
Texas Health Resources,Texas Health Harris Methodist Hospital Cleburne-Texas,4.32E-02,3.68E-02,32.351387,-97.333266,No Different than the National Rate,70,88,No Different than National Benchmark,No Different than the National Rate,3.08E-02,65926.29369,4285,34928038,19633842,4580105,6944230,7559313,30266258,2704519,5506863
Texas Health Resources,Texas Health Harris Methodist Hospital Southlake-Texas,6.54E-03,1.04E-02,32.958532,-97.148682,No Different than the National Rate,86,93,Not Available,No Different than the National Rate,0.1031433914,111059.9753,1079,27044673,16166045,10910131,7744730,23734432,10559994,20423064,16752876
Texas Health Resources,Texas Health Harris Methodist Hospital-Fort Worth-Texas,0.1554838189,0.1330148206,32.728461,-97.317789,No Different than the National Rate,76,89,No Different than National Benchmark,No Different than the National Rate,5.76E-02,73825.96562,39493,543444054,324738987,138507608,-500983103,117170027,-500000618,897467973,89269985
Texas Health Resources,Texas Health Harris Methodist Hospital-Southwest Fort W-Texas,8.50E-02,0.108904581,32.667546,-97.417955,No Different than the National Rate,83,92,No Different than National Benchmark,No Different than the National Rate,7.95E-02,81910.56834,16082,165700120,102872967,46191190,19951140,32072263,-63287694,192317383,60911277
Texas Health Resources,Texas Health Harris Methodist Hospital-Stephenville-Texas,0.3981136214,0.3404255319,32.261126,-98.222944,No Different than the National Rate,77,91,Not Available,No Different than the National Rate,5.20E-02,58707.51108,2562,20061818,11254170,3086186,-32025910,4655633,-31797363,63096249,8898059
Texas Health Resources,Texas Health Heart & Vascular Hospital-Texas,7.53E-03,5.61E-03,32.759905,-97.137815,No Different than the National Rate,83,92,No Different than National Benchmark,No Different than the National Rate,3.02E-02,70636.56973,1199,24017096,14279450,6762807,5711658,17893138,26323205,-3589713,11699458
Texas Health Resources,Texas Health Hospital Clearfork-Texas,6.44E-03,6.83E-03,32.741482,-97.38196,,,,,,8.50E-02,86478.80954,1541,33424626,19603375,12511707,,,,,
Texas Health Resources,Texas Health Huguley Hospital Fort Worth South-Texas,8.84E-02,0.1366352065,32.678414,-97.330991,No Different than the National Rate,71,89,No Different than National Benchmark,No Different than the National Rate,7.05E-02,69221.34984,11204,132606982,86939221,42377041,23775635,48937013,29570007,138091411,29700070
Texas Health Resources,Texas Health Presbyterian Hospital Allen-Texas,3.08E-02,3.93E-02,33.114171,-96.695261,No Different than the National Rate,78,91,Not Available,No Different than the National Rate,0.1435687032,118001.4853,4529,48462067,30871365,14823262,5763404,8443864,30753495,20325139,10639604
Texas Health Resources,Texas Health Presbyterian Hospital Dallas-Texas,8.62E-02,9.94E-02,32.87763,-96.749901,No Different than the National Rate,76,90,No Different than National Benchmark,No Different than the National Rate,4.31E-02,91252.86358,31618,406909450,248109249,111370566,-726596402,97693100,-722112350,1118029477,79848816
Texas Health Resources,Texas Health Presbyterian Hospital Flower Mound-Texas,6.13E-02,0.1218925732,33.033132,-97.060897,No Different than the National Rate,81,92,No Different than National Benchmark,No Different than the National Rate,9.48E-02,110027.5942,7727,95758878,64612983,38534196,17861401,52001637,101011280,32836764,44853349
Texas Health Resources,Texas Health Presbyterian Hospital-Denton-Texas,0.1058650274,0.1224797122,33.220455,-97.146896,No Different than the National Rate,76,89,No Different than National Benchmark,No Different than the National Rate,0.1343581889,87417.69984,13073,135144652,82946350,33663710,14260539,25700886,35307106,70808346,39199308
Texas Health Resources,Texas Health Presbyterian Hospital-Kaufman-Texas,1.62E-02,1.12E-02,32.566356,-96.247436,No Different than the National Rate,76,89,Not Available,No Different than the National Rate,4.22E-02,61908.59159,1641,12569730,7166070,1445291,3321189,6031479,3321189,9501059,4692817
Texas Health Resources,Texas Health Presbyterian Hospital-Plano-Texas,8.68E-02,0.1240695585,33.034913,-96.807924,No Different than the National Rate,81,92,No Different than National Benchmark,No Different than the National Rate,0.1261179709,115976.0104,19717,247589832,162940256,90388741,-439514836,51870933,-439514836,643878484,92318491
Texas Health Resources,Texas Health Presbyterian Hospital-Rockwall-Texas,4.01E-02,7.71E-02,32.858159,-96.420991,No Different than the National Rate,81,92,No Different than National Benchmark,No Different than the National Rate,0.1067074945,88672.25955,5172,66021453,43941110,25309543,-,-,-,-,28853195
Texas Health Resources,Texas Health Seay Behavioral Health Center-Texas,4.69E-03,1.20E-04,33.034913,-96.807924,,,,,,0.1166826221,115395.3062,1134,2582505,799434,-2690501,,,,,
Texas Health Resources,Texas Health Springwood Hospital-Texas,1.05E-02,2.66E-04,32.830463,-97.145064,,,,,,9.87E-02,95612.08303,1977,4157444,1176363,-4609167,,,,,
Texas Health Resources,Texas Institute For Surgery-Texas Health Presbyterian-D-Texas,1.30E-03,2.85E-03,32.87763,-96.749901,No Different than the National Rate,83,94,Not Available,No Different than the National Rate,6.94E-02,104216.5565,482,14758217,9484495,7139305,4128792,23639025,4803773,30805013,28814314
Universal Health Services Inc.,Texas Neurorehab Center - Ltac-Texas,1.78E-03,3.93E-03,30.207102,-97.797013,,,,,,8.53E-02,86199.28545,507,11313113,7918017,4601414,1471693,4692857,17553116,32269437,6471479
HCA,Texas Orthopedic Hospital-Texas,5.66E-03,9.39E-03,29.706824,-95.400691,No Different than the National Rate,87,94,No Different than National Benchmark,No Different than the National Rate,7.34E-02,98277.13379,3915,108153129,67994613,48672724,7786084,22053622,35406979,44464605,74883031
Texas Health Resources,Texas Rehab Hospital Of Arlington-Texas,4.99E-03,2.68E-03,32.692002,-97.133178,,,,,,7.75E-02,81877.85909,898,11981570,7433803,2050455,,,,,
Texas Health Resources,Texas Rehabilitation Hospital-Fort Worth-Texas,5.63E-03,3.50E-03,32.728461,-97.317789,,,,,,8.62E-02,77467.0763,1511,21323324,13351655,3864264,,,,,
No Known Affiliation,Texas Scottish Rite Hospital For Children-Texas,9.42E-04,1.70E-03,32.810821,-96.813186,Not Available,Not Available,Not Available,Not Available,Not Available,9.99E-02,99068.49226,332,19898721,11378067,8960133,99988943,19519922,124833752,12490168,487601
Texas Specialty,Texas Specialty Hospital Lubbock-Texas,3.67E-04,5.63E-04,33.695904,-101.897833,,,,,,2.99E-02,65538.46952,60,1534925,1017454,546304,,,,,
No Known Affiliation,Texas Spine & Joint Hospital-Texas,9.56E-03,1.45E-02,32.323556,-95.299116,No Different than the National Rate,92,95,No Different than National Benchmark,Better than the National Rate,3.21E-02,63978.95455,2279,59802404,33205849,21191422,12469284,17426437,15946604,17923726,18025744
Universal Health Services Inc.,Texoma Medical Center-Texas,7.53E-02,0.1548760277,33.603979,-96.545838,,,,,,2.47E-02,63847.79897,17133,219207320,142011720,67610241,,,,,
No Known Affiliation,The Betty Ford Center-California,1.11E-03,1.81E-03,33.766577,-116.42511,,,,,,3.74E-02,113742.7561,974,5119852,3733536,802866,,,,,
No Known Affiliation,The Brook Hospital - Dupont-Kentucky,1.23E-02,1.39E-02,38.265238,-85.657784,,,,,,4.72E-02,70986.05923,2240,12877562,8291992,560029,,,,,
No Known Affiliation,The Brook Hospital Kmi-Kentucky,1.07E-02,2.34E-02,38.279805,-85.59387,,,,,,4.56E-02,72664.65119,2331,12536262,8872441,2413101,19023607,1608037,19023607,18166298,4807179
No Known Affiliation,The Centers Inc-Florida,7.54E-03,6.59E-03,29.154667,-82.2137,,,,,,9.95E-02,54511.70876,695,3521966,2161729,-281180,,,,,
No Known Affiliation,The Champion Center-California,2.29E-03,3.20E-03,34.604898,-120.393224,,,,,,2.67E-02,86696.66621,157,619271,387177,-45248,,,,,
HCA,The Corpus Christi Medical Center - Bay Area-Texas,0.2027857703,0.2520972799,27.705429,-97.348405,No Different than the National Rate,74,89,No Different than National Benchmark,No Different than the National Rate,4.03E-02,71566.85017,12695,99404935,60159794,19112286,-190557758,12520405,-189800074,272384271,41432039
HCA,The Corpus Christi Medical Center - Doctors Regional-Texas,0.1111824766,8.50E-02,27.729657,-97.385619,,,,,,3.97E-02,72234.06845,6935,98123884,55795658,19985368,,,,,
HCA,The Corpus Christi Medical Center - Heart Hospital-Texas,2.32E-02,1.58E-02,27.705429,-97.348405,,,,,,3.94E-02,74014.00437,1374,21402519,12410591,4415718,,,,,
HCA,The Corpus Christi Medical Center - Northwest-Texas,8.45E-03,3.70E-03,27.840499,-97.593502,,,,,,1.28E-02,65650.78644,239,1876834,1051543,117480,,,,,
HCA,The Corpus Christi Medical Center - Portland Freestanding Er-Texas,3.59E-02,1.74E-02,27.93905,-97.286615,,,,,,3.40E-02,74553.6932,368,3761963,2063532,368558,,,,,
Baylor Scott & White,The Heart Hospital Baylor Denton-Texas,2.83E-03,3.70E-03,33.211714,-97.057141,No Different than the National Rate,96,96,Not Available,No Different than the National Rate,0.1212611835,111688.0044,629,21514538,14373795,9197257,31276061,34381068,31276061,54648499,-518414
Baylor Scott & White,The Heart Hospital Of Baylor Plano-Texas,1.09E-02,1.24E-02,33.034913,-96.807924,No Different than the National Rate,91,95,Not Available,No Different than the National Rate,9.80E-02,107956.7553,4955,202063341,126110962,82482419,57162194,107268125,58589397,152676269,77089941
Jerome Golden Center Foundation,The Jerome Golden Center For Behavioral Health Inc-Florida,1.86E-02,0,26.755604,-80.094424,,,,,,7.04E-02,70454.05306,1515,3719804,1534238,-2479510,,,,,
Commonwealth Health Corp.,The Medical Center At Caverna-Kentucky,6.85E-02,1.78E-02,37.193611,-85.876025,No Different than the National Rate,80,Not Available,Not Available,No Different than the National Rate,2.38E-02,49899.868,238,1485351,891523,170486,6707571,2969452,7622975,225031,-1206282
No Known Affiliation,The Medical Center Of Southeast Texas-Texas,0.4506542179,0.3492366412,29.742886,-94.110769,No Different than the National Rate,62,85,No Different than National Benchmark,No Different than the National Rate,3.39E-03,55299.68585,10062,97411971,57092505,16533994,12384931,35305519,19324694,178341107,35349419
QHR,The Memorial Hospital @ Craig-Colorado,0.5736704446,0.5031055901,40.646718,-107.769369,No Different than the National Rate,68,90,Not Available,No Different than the National Rate,1.61E-02,64742.95297,902,7691390,4513793,1450457,5334036,21032113,41274620,27061827,1748468
Intermountain Healthcare,The Orthopedic Specialty Hospital-Utah,1.55E-02,1.87E-02,40.657888,-111.884128,No Different than the National Rate,85,93,Not Available,No Different than the National Rate,0.07129750528,92235.61723,2207,56838355,33524379,23011336,665816,14090561,665816,42697958,23975517
HealthSouth,The Rehabilitation Institute Of St. Louis - St. Louis Mo-Missouri,5.76E-03,3.83E-03,38.626298,-90.267199,,,,,,1.80E-02,77105.74198,1956,27144753,15981871,3165356,,,,,
The University of Kansas Hospital,The University Of Kansas Hospital-Kansas,0.1056639276,0.1075482751,39.060819,-94.626459,No Different than the National Rate,84,92,No Different than National Benchmark,No Different than the National Rate,4.23E-02,77842.32162,38923,714280289,431178269,219521766,176275800,351928845,768095673,903537075,231198249
Central Florida Health Alliance,The Villages Regional Hospital-Florida,0.5185656279,0.2801595214,28.924707,-81.903038,No Different than the National Rate,55,82,No Different than National Benchmark,No Different than the National Rate,0.2131443276,65397.75367,14524,142205773,76879946,15449835,21895580,78668830,176657318,96851139,22455937
Universal Health Services Inc.,The Vines Hospital-Florida,7.24E-03,6.72E-03,29.154667,-82.2137,,,,,,8.97E-02,57556.41991,3073,14094557,8506526,-1560628,,,,,
HCA,The Woman'S Hospital Of Texas-Texas,5.42E-02,0.1230872863,29.680303,-95.404995,No Different than the National Rate,73,89,Better than the National Benchmark,No Different than the National Rate,8.02E-02,97173.3298,25767,256569117,185535406,105069133,14979323,68672135,-1122109888,1326637876,175945983
No Known Affiliation,Thibodaux Regional Medical Center-Louisiana,0.3362958874,0.3774227902,29.815204,-90.743031,No Different than the National Rate,84,92,No Different than National Benchmark,No Different than the National Rate,7.98E-03,65259.9813,8579,93573675,55596612,20176293,16247991,238825047,16247991,331750853,20514091
Universal Health Services Inc.,Three Rivers Ctr For Behavioral Health-South Carolina,1.16E-02,4.25E-03,33.997029,-81.097606,,,,,,7.25E-02,65927.76498,3371,16302840,9615029,-1790571,,,,,
No Known Affiliation,Three Rivers Hospital-Tennessee,0.1127272727,5.80E-02,36.066629,-87.840514,No Different than the National Rate,66,Not Available,Not Available,No Different than the National Rate,4.97E-03,54295.36218,279,1507215,927830,197929,1302866,1775630,5280751,-1571198,167201
Community Health Systems,Three Rivers Medical Center-Kentucky,0.1115874571,9.50E-02,38.06502,-82.667892,No Different than the National Rate,75,93,Not Available,No Different than the National Rate,-5.02E-03,49927.6087,2486,15558827,8959233,635877,51753933,8254419,51765378,-29247427,4623334
No Known Affiliation,Thunder Road Chemical Dependency Recovery Hospital-California,4.05E-04,1.04E-04,37.834702,-122.264079,,,,,,1.20E-02,112683.2737,62,228457,141798,-16110,,,,,
Tidelands Health,Tidelands Waccamaw Rehab-South Carolina,4.75E-03,2.84E-03,33.568594,-79.050456,,,,,,0.1318004746,62659.16137,232,3602824,2201881,545028,,,,,
Tift Regional Medical Center,Tift Regional Medical Center-Georgia,0.5354648774,0.5854758683,31.442267,-83.449001,No Different than the National Rate,73,89,No Different than National Benchmark,No Different than the National Rate,1.51E-02,49770.70633,10590,99859529,55760474,13840968,40509904,121658550,134165204,383708066,23768629
HCA,Timpanogos Regional Hospital-Utah,0.1094557529,0.1409353981,40.315997,-111.720248,No Different than the National Rate,75,90,No Different than National Benchmark,No Different than the National Rate,9.02E-02,77284.91654,5127,64607510,42031150,23051836,4827401,27872389,6819174,65311937,34641628
Memorial Hermann,Tirr Memorial Hermann-Texas,1.49E-03,2.43E-03,29.706824,-95.400691,,,,,,7.08E-02,91346.59216,1303,27652160,18041864,8194832,,,,,
Community Health Systems,Titus Regional Medical Center-Texas,3.44E-02,0.1179017894,33.223157,-94.980089,No Different than the National Rate,60,87,Not Available,No Different than the National Rate,2.20E-02,57195.9964,4251,34774886,22318640,8857320,9916548,37040745,23948960,57564351,6855249
Inspire Medical,Tj Health Columbia-Kentucky,2.24E-02,9.00E-03,37.114236,-85.280133,No Different than the National Rate,98,Not Available,Not Available,No Different than the National Rate,2.27E-02,48585.0023,421,1745000,984817,-421498,14268642,5235917,26492603,-19171051,1059047
No Known Affiliation,Tom Redgate Memorial Recovery Center-California,1.93E-03,0,33.780972,-118.201262,,,,,,-8.70E-03,70401.31638,720,819152,-144991,-1747309,,,,,
No Known Affiliation,Tomball Regional Medical Center-Texas,0.1932708642,0.1182646092,30.094247,-95.590316,No Different than the National Rate,69,88,No Different than National Benchmark,No Different than the National Rate,0.1470085984,123005.766,9677,104337251,62520870,23050502,300934456,29850043,302182148,-106950032,-5411317
